residue,element,mass,electron,radius
cA,GN,15.01468,8,2.640064
cA,GC,28.05316,16,2.640064
DAX,C1X,56.06,30,
DAX,C5X,27.004,15,
DAX,PX,94.966,48,
DAX,N6A,67.074,35,
DAX,N1A,40.03,20,
DAX,C2A,27.028,14,
DGX,C1X,56.06,30,
DGX,C5X,27.004,15,
DGX,PX,94.966,48,
DGX,O6G,67.046,34,
DGX,N1G,29.028,15,
DGX,N2G,42.046,22,
DCX,C1X,56.06,30,
DCX,C5X,27.004,15,
DCX,PX,94.966,48,
DCX,N4C,41.135,22,
DCX,N3C,27.028,14,
DCX,O2C,42.018,21,
DTX,C1X,56.06,30,
DTX,C5X,27.004,15,
DTX,PX,94.966,48,
DTX,O4T,55.052,29,
DTX,N3T,28.036,15,
DTX,O2T,42.018,21,
GX5,C1X,56.06,30,
GX5,C5X,27.004,15,
GX5,PX,94.966,49,
GX5,O6G,67.046,34,
GX5,N1G,29.028,15,
GX5,N2G,42.046,22,
CX5,C1X,56.06,30,
CX5,C5X,27.004,15,
CX5,PX,94.966,49,
CX5,N4C,41.135,22,
CX5,N3C,27.028,14,
CX5,O2C,42.018,21,
AX5,C1X,56.06,30,
AX5,C5X,27.004,15,
AX5,PX,94.966,49,
AX5,N6A,67.074,35,
AX5,N1A,40.03,20,
AX5,C2A,27.028,14,
TX5,C1X,56.06,30,
TX5,C5X,27.004,15,
TX5,PX,94.966,49,
TX5,O4T,55.052,29,
TX5,N3T,28.036,15,
TX5,O2T,42.018,21,
GX3,C1X,73.066,31,
GX3,C5X,27.004,15,
GX3,PX,94.966,48,
GX3,O6G,67.046,34,
GX3,N1G,29.028,15,
GX3,N2G,42.046,22,
CX3,C1X,73.066,31,
CX3,C5X,27.004,15,
CX3,PX,94.966,48,
CX3,N4C,41.135,22,
CX3,N3C,27.028,14,
CX3,O2C,42.018,21,
AX3,C1X,73.066,31,
AX3,C5X,27.004,15,
AX3,PX,94.966,48,
AX3,N6A,67.074,35,
AX3,N1A,40.03,20,
AX3,C2A,27.028,14,
TX3,C1X,73.066,31,
TX3,C5X,27.004,15,
TX3,PX,94.966,48,
TX3,O4T,55.052,29,
TX3,N3T,28.036,15,
TX3,O2T,42.018,21,
